               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.044646,            0.024734,            0.020293,              0.7456,             0.63329,              0.7011,             0.42762,            0.041711,            0.013331,             0.01182,             0.00604,             0.00604,             0.00604
                  82,            0.045397,            0.025818,            0.020337,             0.74414,              0.6335,             0.70102,             0.42763,            0.041698,            0.013329,            0.011812,           0.0059905,           0.0059905,           0.0059905
                  83,             0.04522,            0.024937,            0.020147,             0.74586,             0.63422,             0.70143,             0.42807,            0.041685,            0.013324,            0.011797,            0.005941,            0.005941,            0.005941
                  84,            0.044706,            0.024883,            0.020129,             0.74815,             0.63123,             0.70151,             0.42826,            0.041669,            0.013321,            0.011784,           0.0058915,           0.0058915,           0.0058915
                  85,            0.044796,            0.025405,            0.019906,             0.74639,             0.63293,             0.70187,              0.4286,            0.041655,            0.013319,            0.011772,            0.005842,            0.005842,            0.005842
                  86,            0.045028,            0.025157,            0.019652,             0.74373,             0.63579,              0.7017,             0.42832,            0.041639,            0.013314,            0.011761,           0.0057925,           0.0057925,           0.0057925
                  87,            0.044828,            0.025144,            0.020017,             0.74203,             0.63727,             0.70196,             0.42867,            0.041625,             0.01331,            0.011747,            0.005743,            0.005743,            0.005743
                  88,            0.045035,            0.025221,            0.019513,             0.74164,             0.63819,             0.70194,             0.42912,            0.041613,            0.013306,            0.011733,           0.0056935,           0.0056935,           0.0056935
                  89,            0.044806,            0.025729,            0.018864,             0.73848,             0.64095,             0.70312,              0.4295,            0.041598,            0.013302,            0.011717,            0.005644,            0.005644,            0.005644
                  90,            0.044386,            0.024906,            0.019211,             0.74017,             0.64067,             0.70333,             0.42974,             0.04158,            0.013298,            0.011704,           0.0055945,           0.0055945,           0.0055945
                  91,            0.044816,            0.024944,            0.019929,             0.74027,             0.64125,             0.70372,             0.42991,            0.041563,            0.013295,             0.01169,            0.005545,            0.005545,            0.005545
                  92,            0.045374,            0.025001,            0.019651,             0.74054,             0.64209,             0.70454,             0.43033,            0.041549,            0.013291,            0.011674,           0.0054955,           0.0054955,           0.0054955
                  93,            0.044111,            0.024774,            0.018958,             0.74078,             0.64278,             0.70486,              0.4307,            0.041535,            0.013287,            0.011665,            0.005446,            0.005446,            0.005446
                  94,            0.044239,            0.024872,            0.019574,              0.7413,             0.64396,             0.70542,              0.4309,            0.041521,            0.013281,            0.011656,           0.0053965,           0.0053965,           0.0053965
                  95,            0.044355,            0.024662,            0.019133,             0.74303,             0.64334,             0.70551,              0.4314,            0.041507,            0.013276,            0.011644,            0.005347,            0.005347,            0.005347
                  96,            0.044873,            0.025684,            0.019005,             0.74394,             0.64373,              0.7058,             0.43174,            0.041493,             0.01327,             0.01163,           0.0052975,           0.0052975,           0.0052975
                  97,            0.044352,            0.024115,            0.019192,             0.74467,             0.64347,             0.70641,             0.43204,             0.04148,            0.013268,            0.011617,            0.005248,            0.005248,            0.005248
                  98,            0.044089,            0.024888,            0.019135,             0.74221,             0.64439,             0.70669,             0.43225,            0.041465,            0.013264,            0.011607,           0.0051985,           0.0051985,           0.0051985
                  99,            0.044719,            0.024941,            0.019438,             0.74294,             0.64443,             0.70665,             0.43275,            0.041449,             0.01326,            0.011599,            0.005149,            0.005149,            0.005149
                 100,             0.04461,            0.024938,            0.018669,              0.7406,              0.6451,             0.70649,             0.43298,            0.041435,            0.013254,            0.011591,           0.0050995,           0.0050995,           0.0050995
                 101,            0.044018,            0.025008,              0.0189,             0.74197,              0.6457,              0.7067,             0.43322,            0.041423,             0.01325,            0.011584,             0.00505,             0.00505,             0.00505
